Free Form,Job1,Job2,Job3,Score1,Score2,Score3
corporate banker,corporate banking analyst,corporate financial analyst,corporate finance executive,0.9462522268295288,0.9374637007713318,0.935064435005188
corporate banking intern,corporate finance intern,corporate accounting finance intern,corporate accounting intern,0.9505553841590881,0.9469854831695557,0.9264270067214966
corporate board member,corporate account director,corporate support representative,corporate market director,0.9154461622238159,0.9057586193084717,0.9053363800048828
corporate communications coordinator,corporate human resources coordinator,corporate communications assistant,corporate human resources director,0.9569628238677979,0.9553513526916504,0.9499821662902832
corporate communications intern,corporate human resource intern,corporate marketing and communications intern,corporate marketing intern,0.9585580825805664,0.9574246406555176,0.9364802837371826
corporate controller,corporate account director,corporate financial controller,corporate account coordinator,0.9299260377883911,0.9279266595840454,0.9251093864440918
corporate controller and company legal secretary,corporate legal assistant,counsel assistant corporate secretary,corporate account coordinator,0.9183166027069092,0.9168077707290649,0.9003559350967407
corporate controller corporate finance,corporate financial controller,corporate finance manager,corporate finance executive,0.975375771522522,0.9603884220123291,0.9538341164588928
corporate customer success manager,corporate sales development representative,corporate sales trainer,corporate sales specialist,0.9144009351730347,0.9111531376838684,0.9099782109260559
corporate development intern,corporate human resource intern,corporate marketing intern,corporate marketing and communications intern,0.9611392021179199,0.9332499504089355,0.9297810792922974
corporate development program manager,corporate human resources director,corporate support manager,corporate human resources coordinator,0.9600867033004761,0.9566477537155151,0.9518419504165649
corporate enterprise field sales looker latam google cloud,salesforce marketing cloud developer,salesforce marketing cloud architect,enterprise oracle marketing cloud applications sales manager,0.8174322247505188,0.8082798719406128,0.8077208995819092
corporate event marketing manager,corporate marketing manager,corporate marketing coordinator,corporate marketing communications manager,0.9616133570671082,0.9564393758773804,0.9543962478637695
corporate executive assistant,corporate executive assistant,corporate assistant,corporate administrative assistant,1.0,0.9727135896682739,0.9610418081283569
corporate finance,corporate finance manager,corporate finance attorney,director of corporate finance,0.9522110223770142,0.9514477252960205,0.9495675563812256
corporate finance intern,corporate finance intern,corporate accounting finance intern,business finance intern,0.9999995231628418,0.9613843560218811,0.9468303918838501
corporate financial analyst,corporate financial analyst,corporate finance analyst,corporate banking analyst,1.0,0.9837003350257874,0.9698836207389832
corporate financial controller,corporate financial controller,corporate finance manager,corporate finance executive,0.9999998807907104,0.963503360748291,0.9627052545547485
corporate functions recruiting coordinator,corporate recruiter human resources generalist,corporate human resources recruiter,corporate sales recruiter,0.9420775175094604,0.933588981628418,0.926548957824707
corporate gifting associate,corporate support representative,corporate account representative,corporate sales representative,0.927604079246521,0.9233462810516357,0.9163914918899536
corporate human resources director,corporate human resources director,corporate human resources manager,corporate human resources coordinator,1.0,0.9807231426239014,0.9798174500465393
corporate institutional banking development program,corporate banking analyst,corporate and investment banking analyst,director of corporate financial planning and analysis,0.8965344429016113,0.8850862979888916,0.8740838766098022
corporate intern,corporate human resource intern,corporate sales intern,corporate assistant,0.9562324285507202,0.9403659105300903,0.9248181581497192
corporate licensing program manager,corporate support manager,assistant corporate counsel,corporate support representative,0.892433762550354,0.8918085694313049,0.8899972438812256
corporate marketing branding intern,corporate marketing intern,corporate marketing and communications intern,corporate marketing assistant,0.9626585245132446,0.9566973447799683,0.9107711315155029
corporate meeting manager,corporate executive assistant,executive meeting sales manager,corporate administrative assistant,0.8950554132461548,0.8947749137878418,0.8845268487930298
corporate partnership intern,corporate human resource intern,corporate sales intern,corporate finance intern,0.9376887083053589,0.9190621972084045,0.9148424863815308
corporate partnership sales and activation intern,corporate sales intern,corporate marketing and communications intern,corporate marketing intern,0.9268678426742554,0.9116708040237427,0.9080991744995117
corporate partnerships account executive,corporate account executive,corporate account director,corporate account representative,0.9633191227912903,0.9544664621353149,0.9493556022644043
corporate partnerships intern,corporate human resource intern,corporate marketing and communications intern,corporate sales intern,0.9322618246078491,0.9176845550537109,0.9162396192550659
corporate partnerships intern jmu,corporate human resource intern,corporate marketing and communications intern,corporate sales intern,0.8982217311859131,0.8674310445785522,0.86390221118927
corporate recruiter,corporate human resources recruiter,corporate recruiter human resources generalist,corporate sales recruiter,0.9497696757316589,0.9485436677932739,0.9453878402709961
corporate recruiting intern,corporate sales intern,corporate marketing intern,corporate human resource intern,0.9182658791542053,0.9159557223320007,0.9084539413452148
corporate relations committee member,corporate market director,corporate human resources director,corporate support representative,0.9091092348098755,0.9081946611404419,0.9077258110046387
corporate relations intern,corporate human resource intern,corporate marketing and communications intern,corporate marketing intern,0.9487033486366272,0.9423521757125854,0.9395598769187927
corporate sales manager,corporate sales manager,corporate sales coordinator,corporate sales account manager,0.9999997615814209,0.9850819110870361,0.9844355583190918
corporate service assistant,corporate services assistant,corporate assistant,corporate administrative assistant,0.9921436309814453,0.9737146496772766,0.9702246189117432
corporate services,corporate support manager,corporate support specialist,corporate support representative,0.9255257844924927,0.9248855113983154,0.9241076707839966
corporate services assistant,corporate services assistant,corporate administrative assistant,corporate assistant,1.000000238418579,0.9678424000740051,0.9666484594345093
corporate services manager north america,vice president of worldwide marketing,executive vice president of global sales,vice president of worldwide sales,0.7861965894699097,0.7833994626998901,0.7825955152511597
corporate strategy,corporate strategy analyst,corporate actions analyst,corporate planning analyst,0.943339467048645,0.9327706098556519,0.9287110567092896
corporate strategy analyst,corporate strategy analyst,corporate planning analyst,corporate development analyst,1.0000003576278687,0.9622012376785278,0.9599018096923828
corporate strategy executive,corporate strategy analyst,corporate planning analyst,corporate account executive,0.9628549218177795,0.9298837184906006,0.9290376901626587
corporate total rewards associate director,corporate sales director,corporate sales development representative,vice president of corporate sales,0.879881739616394,0.8752375841140747,0.8664227724075317
corporate training manager,account manager corporate trainer,account executive corporate trainer,corporate product manager,0.9365521669387817,0.9183580875396729,0.9008044004440308
corporate wellness manager,corporate product manager,corporate marketing manager,corporate support manager,0.8394854068756104,0.8391541242599487,0.8351240158081055
corps member,unit support associate,support team member,member support representative,0.7914584279060364,0.7841061353683472,0.7827093601226807
correspondent,chief correspondent,coverage analyst,editor chief,0.8646565675735474,0.8168036341667175,0.7968296408653259
costume designer,costume design assistant,costume assistant,costume production assistant,0.9132144451141357,0.8771504163742065,0.8365116715431213
costume designer the wiz,costume design assistant,designer production artist,costume assistant,0.8416832089424133,0.8081817030906677,0.7924073934555054
costume designer wig designer,hair stylist assistant,costume design assistant,hair assistant,0.7999063730239868,0.795053243637085,0.7780181765556335
costume shop manager,costume shop assistant,merchandising assistant manager,scene shop assistant,0.9541414976119995,0.8541632890701294,0.8500760793685913
costume shop manager costume designer,costume shop assistant,costume production assistant,designer sales associate,0.9130847454071045,0.8352530002593994,0.828371524810791
costume shop manager wardrobe supervisor,costume shop assistant,merchandising assistant manager,assistant visual merchandising manager,0.9140311479568481,0.8663140535354614,0.865466296672821
costume shop teaching assistnat,costume shop assistant,costume design assistant,send teaching assistant,0.8319276571273804,0.7826075553894043,0.7713167667388916
costume supervisor,costume assistant,costume design assistant,costume production assistant,0.9538217782974243,0.9461944699287415,0.9331096410751343
costumer success manager,director success manager,success manager,success agent,0.8518458008766174,0.8264590501785278,0.8263930082321167
counsel senior counsel and later assistant general counsel,assistant general counsel,deputy chief counsel,assistant district counsel,0.8486713171005249,0.8444169759750366,0.83609539270401
counselor,counselor assistant,assistant director counselor,support services counselor,0.9490827918052673,0.9012526273727417,0.898655891418457
counselor aid,counselor assistant,support services counselor,support counselor,0.9453024864196777,0.9397053718566895,0.9249074459075928
country manager netherlands formerly emailvision,email analyst,email production specialist,data entry typist email correspondent,0.6887507438659668,0.6786321401596069,0.6755288243293762
courier,supply chief,route assistant,dispatch analyst,0.8062787055969238,0.8004137873649597,0.7841153740882874
course assistant introduction to business,assistant professor of business,business and marketing teacher,business marketing teacher,0.878847599029541,0.867296576499939,0.8665118217468262
course coordinator,course assistant,curriculum assistant,experience coordinator,0.9192230701446533,0.8905739784240723,0.873782753944397
course developer,production developer,solution architect developer,etl developer analyst,0.8339799046516418,0.8314804434776306,0.8255171179771423
course instructor,instructor assistant director,instructor analyst,instructor assistant professor,0.9304091334342957,0.9057590961456299,0.9003103971481323
course manager,course assistant,board assistant,assistant manager instructor,0.902381181716919,0.8623809218406677,0.8577301502227783
course selenium,solution principal,solution lead,chief chemist,0.6838666200637817,0.6690255999565125,0.6466771364212036
couselor,chief,solution principal,chief estimator,0.7909509539604187,0.7831093072891235,0.7770618796348572
coverage intern,general production intern,event production intern,intern assistant coordinator,0.8898062705993652,0.8897014856338501,0.8706157803535461
covid sabbatical,post closing analyst,post closing assistant,vacation sales consultant,0.7139290571212769,0.7003929615020752,0.6837685108184814
covid19 home delivery assistant,home care assistant,home assistant,in home sales representative,0.8819228410720825,0.8570718765258789,0.8377665281295776
cpa,chief examiner,cpfr analyst,chief officer,0.8280690312385559,0.8278555274009705,0.8275903463363647
cpa audit manager,audit administrative assistant,audit assistant,audit support assistant,0.910947322845459,0.896117627620697,0.8934175372123718
cpa intern,intern personal assistant,support services intern,human services intern,0.9069722890853882,0.9041508436203003,0.9025106430053711
cpo in residence,residence assistant,residence life office assistant,resident hall assistant,0.8212658762931824,0.7935199737548828,0.7858894467353821
cre investment banking intern,financial advisory intern,financial advising intern,financial management intern,0.9097599387168884,0.9041863083839417,0.9037988781929016
cre sales development at moody s analytics,sales operations business intelligence data analyst,institutional sales analyst,financials cloud principal sales consultant,0.8127291202545166,0.8075978755950928,0.8024028539657593
creative,creative assistant,creative production coordinator,creative services assistant,0.8359411954879761,0.7997403740882874,0.7976795434951782
creative analyst team lead,creative production manager,creative production coordinator,creative executive assistant,0.876908540725708,0.8614046573638916,0.8509485721588135
creative assistant,creative assistant,creative services assistant,creative production assistant,1.000000238418579,0.972343921661377,0.9509327411651611
creative content manager,creative production manager,creative production coordinator,creative services production manager,0.9340433478355408,0.9259495735168457,0.9249870181083679
creative content writing intern,creative production intern,content production intern,editorial and production intern,0.8933595418930054,0.8528057932853699,0.8524138927459717
creative copywriter,product copywriter,marketing copywriter,copywriter marketing coordinator,0.920001745223999,0.8818491101264954,0.8807013034820557
creative department director,director of creative production,assistant director of creative services,creative production coordinator,0.9455653429031372,0.9402629137039185,0.9377344846725464
creative design intern,production design intern,experience design intern,design and production intern,0.9544970989227295,0.9494667053222656,0.9462346434593201
creative developer,production developer,creative production coordinator,production services developer,0.8875721096992493,0.8742693662643433,0.8687618970870972
creative director,director of creative production,creative production coordinator,creative production manager,0.9585893750190735,0.9528415203094482,0.9519315958023071
creative director lead ux ui designer,ui ux product designer,ux product designer,ux visual designer web experience architect,0.9094411134719849,0.8779947757720947,0.8066391944885254
creative director owner,product manager owner,owner assistant,chief executive officer creative director,0.8799880743026733,0.8713939189910889,0.869544267654419
creative director studio manager,creative director production manager,creative production manager,studio production manager,0.9407697916030884,0.9125226736068726,0.9090068340301514
creative graphic design consultant ongoing,graphic and production designer,production graphic designer,graphic designer production artist,0.8726341724395752,0.8643834590911865,0.861499547958374
creative intern,creative production intern,creative marketing intern,production and development intern,0.9414941668510437,0.8833083510398865,0.8792697191238403
creative manager,creative production manager,creative services production manager,creative executive assistant,0.9665994048118591,0.9457083940505981,0.927210807800293
creative marketing consultant,creative marketing consultant,marketing promotions consultant,creative marketing director,0.9999997019767761,0.9656793475151062,0.9647188186645508
creative marketing intern,creative marketing intern,strategic marketing intern,marketing production intern,0.9999998807907104,0.9610004425048828,0.9608582258224487
creative producer,creative production coordinator,creative production manager,director of creative production,0.9488518238067627,0.943257749080658,0.9322048425674438
creative production intern,creative production intern,production and development intern,production intern,1.000000238418579,0.9582790732383728,0.948026716709137
creative specialist the economist group cfo,erp business analyst,business analyst co op,manufacturing financial analyst,0.8125715255737305,0.8081555366516113,0.8078510761260986
creative strategist,experience strategist,creative marketing specialist,creative production manager,0.8717828989028931,0.842675507068634,0.8397436141967773
creative strategist intern,creative production intern,creative marketing intern,product strategy intern,0.9242215156555176,0.9095711708068848,0.8943762183189392
creative technology intern,creative production intern,product innovation intern,media production intern,0.9278969168663025,0.9146164655685425,0.9081054925918579
creative technology manager,technology product manager,creative production manager,product technology manager,0.8963095545768738,0.894753098487854,0.8933084011077881
creative writer,creative assistant,creative production coordinator,creative services assistant,0.9048956632614136,0.8674511909484863,0.861454963684082
creator,chief executive officer creator,chief coordinator,chief designer,0.8166086673736572,0.8047164082527161,0.7896459102630615
creator designer,designer production artist,production designer,chief designer,0.8688861131668091,0.8647975921630859,0.8582481145858765
creator head coach,chief executive officer head coach,chief executive officer creator,chief executive officer coach,0.8196386098861694,0.8120366930961609,0.8059500455856323
creator success lead,success manager,success partner,success specialist,0.8880736827850342,0.8875859379768372,0.8771241307258606
credit analyst cdos,credit reporting analyst,credit analyst,credit review analyst,0.9362177848815918,0.9359792470932007,0.9345533847808838
credit analyst intern,financial consulting intern,financial management intern,financial advisory services intern,0.9226154685020447,0.9204286336898804,0.9194813370704651
credit collection manager,credit account manager,credit products officer,credit and accounts receivable manager,0.9621618986129761,0.9567512273788452,0.9312916994094849
credit intern,account intern,account services intern,credit assistant,0.904979944229126,0.8951369524002075,0.8855018019676208
credit risk summer analyst,credit risk summer analyst,global markets summer analyst,marketing summer analyst,1.0000001192092896,0.8992888927459717,0.8884319067001343
crew cover,support personnel,support technician,support staff,0.841604471206665,0.8372429609298706,0.8314560651779175
crew member,production team member,crew chief,support team member,0.8451154232025146,0.8389875888824463,0.8323394060134888
criminal forensic investigator,criminal intelligence analyst,criminal analyst,crime intelligence analyst,0.8602628707885742,0.8516613841056824,0.8325616717338562
crisis counselor coach,counselor assistant,counseling assistant,support services counselor,0.8419544100761414,0.8374178409576416,0.8334659337997437
crisis line operator intern,intern assistant coordinator,intern project assistant,support services intern,0.8733372688293457,0.863614559173584,0.8491582870483398
critical writing tutor,reading assistant,research and writing assistant,assistant professor of english,0.8010361194610596,0.778209924697876,0.7698960304260254
crm manager,crm marketing manager,crm product manager,member service assistant manager,0.8734484314918518,0.8711502552032471,0.8698166012763977
crossfit coach,product coach,production coach,support coach,0.8086933493614197,0.7706989645957947,0.7608407139778137
cs coordinator,support coordinator,support center coordinator,support services coordinator,0.8713442087173462,0.864383339881897,0.859481930732727
cs enablement specialist,provider data specialist,systems support coordinator,platform support specialist,0.8521008491516113,0.8472066521644592,0.8463354706764221
cs manager,administrative chief,strategic support manager,operations chief,0.7929611206054688,0.7872256636619568,0.7848212122917175
cs operations manager,systems support manager,operations support manager,process support manager,0.8584890365600586,0.857128918170929,0.8543570637702942
cs strategy enablement,strategic support manager,strategic support associate,operations support lead,0.7965775728225708,0.7951346635818481,0.7803107500076294
cs team lead,production line lead,production lead,it support lead,0.7799242734909058,0.777529776096344,0.7707661986351013
cs tech trainer,technical support trainer,systems analyst trainer,product trainer,0.8342134952545166,0.8261791467666626,0.8241756558418274
csm,command chief,chief,operations chief,0.7626298666000366,0.7603510022163391,0.7568320035934448
csr,chief,command chief,operations chief,0.7709428668022156,0.7533507347106934,0.751745879650116
cto,general assistant,cyp assistant,administrator assistant,0.8220282793045044,0.8162922859191895,0.8085894584655762
cto and co founder,chief executive officer founding partner,chief executive officer creator,chief executive officer partner,0.8956277370452881,0.8425174355506897,0.8079552054405212
cto and product manager,product manager,product line manager,product management manager,0.9507186412811279,0.948158860206604,0.9456430673599243
cto co founder at tomigo com,cx applications sales representative,managing director chief technology officer,web production coordinator,0.7633172869682312,0.752444863319397,0.7503525018692017
cto security officer,chief security officer,security assistant,security administrative assistant,0.9269689917564392,0.9232739806175232,0.9220473766326904
cto svp engineering,product engineering co op,chief of engineering,director of product engineering,0.8806736469268799,0.8789063692092896,0.8695529699325562
culinary extern,culinary assistant,culinary administrative assistant,culinary assistant expo,0.8907153010368347,0.8803593516349792,0.8683573007583618
culinary partnership operations associate,assistant director of culinary services,culinary assistant,line cook production associate,0.9006725549697876,0.8742672801017761,0.8716456890106201
curator intern,production research intern,research and production intern,production intern,0.9011440277099609,0.8994743227958679,0.8896958231925964
curatorial coordinator,curatorial assistant,chief curator,curatorial research assistant,0.8966081738471985,0.8845184445381165,0.8546463251113892
curatorial department archive and new media,new account installation specialist,new accounts specialist,director of new products,0.775127649307251,0.7726361751556396,0.7664273381233215
curatorial intern,intern project assistant,research and production intern,production research intern,0.9093520641326904,0.8998585939407349,0.898126482963562
current client representative,client experience representative,client solutions representative,client support representative,0.8842450380325317,0.8683105707168579,0.8506591320037842
curriculum developer computer science,assistant professor of computer science,computer science research assistant,machine learning data scientist,0.8540540933609009,0.8520670533180237,0.8509390950202942
curriculum development and racial equity consultant,education solutions consultant,education policy analyst,education research analyst,0.7218837141990662,0.7188811898231506,0.7020044326782227
custodian,chief custodian,subsidiary rights assistant,chief steward,0.8827972412109375,0.8645823001861572,0.8579888343811035
custom apparel specialist,installed products specialist,advanced product specialist,consumer product specialist,0.8191062808036804,0.8147158026695251,0.8106358647346497
custom solutions specialist,solutions design specialist,product solution specialist,installed products specialist,0.8974688053131104,0.8929721117019653,0.8898442983627319
custom specialist,installed products specialist,advanced product specialist,accessories assistant,0.8653744459152222,0.8435363173484802,0.8120887279510498
customer account manager,customer account manager,customer accounts manager,customer account administrator,1.0,0.9934910535812378,0.9881263971328735
customer acquisition manager,customer assistance manager,customer support program manager,customer experience manager,0.9524614214897156,0.9508922100067139,0.9504954814910889
customer advocate,customer support advocate,customer experience advocate,customer support representative,0.973283052444458,0.9612696170806885,0.9150077700614929
customer advocate and operations coordinator,customer support coordinator,customer experience coordinator,customer support advocate,0.9597764015197754,0.9558093547821045,0.9530276656150818
customer advocate iv,ivs sales representative,client experience manager,customer support administrator,0.8237255811691284,0.7830342650413513,0.7828876972198486
customer business development intern,business support intern,business and marketing intern,sales and business development intern,0.9507790803909302,0.9421141147613525,0.9417842626571655
customer care agent,customer care assistant,customer care account representative,customer care support representative,0.9564712047576904,0.9528146982192993,0.9509129524230957
customer care engineer,customer support engineer,customer solutions engineer,customer support engineer analyst,0.9548235535621643,0.9273393750190735,0.9222277998924255
customer care intern,customer support intern,customer experience intern,product support intern,0.9778081178665161,0.960600733757019,0.9217028021812439
customer care manager,customer care assistant,customer care account manager,customer care account representative,0.9713848233222961,0.9637291431427002,0.9583284854888916
customer care representative,customer care support representative,customer care account representative,customer care assistant,0.9825654029846191,0.9634248614311218,0.9606872797012329
customer care specialist seasonal,seasonal sales associate,annuitant holiday clerk assistant,vacation sales advisor,0.9174892902374268,0.8335015177726746,0.7948143482208252
customer care vip specialist,vip account manager,customer assistance specialist,customer care account specialist,0.8307114839553833,0.8173181414604187,0.815373420715332
customer communications manager,customer solutions manager,customer support operations manager,customer support center manager,0.9629007577896118,0.9621264338493347,0.961855411529541
customer contact coordinator freight liaison,freight sales executive,freight sales broker,freight analyst,0.8832039833068848,0.8739191293716431,0.8511569499969482
customer education specialist,customer experience specialist,customer assistance specialist,customer support specialist,0.9091590642929077,0.907557487487793,0.8995751142501831
customer engagement consultant,customer experience advisor,customer experience consultant,customer support consultant,0.9657783508300781,0.9653295874595642,0.9514697790145874
customer engagement manager,customer experience manager,customer experience coordinator,customer experience program manager,0.9666035175323486,0.9511411190032959,0.9508776664733887
customer engagement senior associate,customer experience executive,customer success associate,customer success executive,0.910691499710083,0.9095060229301453,0.9017291069030762
customer experience,customer experience representative,customer experience lead,customer experience associate,0.9568324685096741,0.946698784828186,0.935051441192627
customer experience advocate,customer experience advocate,customer support advocate,customer experience representative,1.000000238418579,0.9622964859008789,0.9464733600616455
customer experience and support bootcamp,customer support trainer,virtual customer success manager,customer experience advocate,0.7240064740180969,0.7129750847816467,0.7079564332962036
customer experience and support bootcamp student,student assistant coach,student production assistant,marketing and game day intern,0.7629764080047607,0.743455171585083,0.7385646104812622
customer experience associate,customer experience associate,customer experience representative,customer support associate,1.0,0.967176079750061,0.9617142677307129
customer experience associate temp,customer experience associate,customer experience representative,customer experience officer,0.9638305902481079,0.9385828971862793,0.9325966835021973
customer experience consultant,customer experience consultant,customer experience advisor,customer support consultant,0.9999998211860657,0.9792989492416382,0.9741872549057007
customer experience coordinator,customer experience coordinator,customer support coordinator,customer solutions coordinator,1.0000001192092896,0.977851390838623,0.9756109714508057
customer experience expert,customer experience expert,customer solutions expert,customer experience professional,1.0000001192092896,0.949874758720398,0.9297703504562378
customer experience guru,customer experience advocate,customer experience consultant,customer experience advisor,0.9502055644989014,0.9419050216674805,0.9372674226760864
customer experience lead,customer experience lead,customer support lead,customer experience team lead,1.0000001192092896,0.9481734037399292,0.9392274618148804
customer experience manager,customer experience manager,customer experience program manager,customer experience project manager,1.0,0.9871731996536255,0.9755294322967529
customer experience representative,customer experience representative,customer experience associate,customer experience manager,0.9999998807907104,0.967176079750061,0.9635804295539856
customer experience specialist account management,customer service account specialist,customer service representative account specialist,customer account specialist,0.9286525249481201,0.9268761277198792,0.923043966293335
customer experience supervisor level 2,customer experience supervisor,assistant customer experience manager,assistant customer manager,0.8459211587905884,0.839776873588562,0.8331282138824463
customer experience team lead,customer experience team lead,customer support team lead,customer experience project manager,1.0000003576278687,0.9748585224151611,0.9600194096565247
customer facing data scientist,client data analyst,customer data analyst,customer data technician,0.880061149597168,0.8762404918670654,0.8525499105453491
customer financial service intern,financial services intern,financial operations intern,financial advisory services intern,0.9461140632629395,0.9445780515670776,0.9389467239379883
customer insight executive,customer experience executive,customer experience consultant,customer experience manager,0.9465917348861694,0.9447504878044128,0.9437053203582764
customer insights account manager,customer development account manager,customer support account manager,customer account advisor,0.9670166969299316,0.9584923982620239,0.9550899863243103
customer insights analyst,customer insights analyst,customer experience analyst,customer solutions analyst,0.9999995231628418,0.9737333059310913,0.9696551561355591
customer insights manager,customer experience manager,customer solutions manager,customer insights analyst,0.9670810103416443,0.9655275344848633,0.9571322798728943
customer journey expert,customer experience expert,customer solutions expert,customer experience specialist,0.912656307220459,0.9104912281036377,0.9020168781280518
customer knowledge specialist,customer experience specialist,customer data specialist,customer support specialist,0.9668251276016235,0.9530878067016602,0.9486767053604126
customer lifecycle,customer support team,customer experience program manager,customer experience project manager,0.8973506689071655,0.8927409648895264,0.8906770944595337
customer lifecycle and retention manager,customer experience program manager,customer support manager,customer support program manager,0.9274871349334717,0.924868106842041,0.9244468212127686
customer lifecycle associate,customer experience associate,customer support associate,customer support project manager,0.9495670199394226,0.9494611024856567,0.9439763426780701
customer management senior associate,customer experience executive,customer support executive,client solutions executive,0.9130133390426636,0.9095727205276489,0.9010580778121948
customer manager,customer experience manager,customer support manager,customer support center manager,0.9665252566337585,0.965032696723938,0.9574673175811768
customer marketing associate,customer marketing associate,customer marketing representative,customer marketing manager,0.9999998807907104,0.9829100370407104,0.9753255844116211
customer marketing associate uk emea region,emea marketing manager,erp applications sales representative,national sales support specialist,0.7919176816940308,0.7869123220443726,0.7838525772094727
customer marketing consultant,customer marketing analyst,customer marketing associate,customer marketing manager,0.9691609144210815,0.9691587686538696,0.9664977788925171
customer marketing manager,customer marketing manager,customer marketing representative,customer marketing associate,1.0000001192092896,0.978825569152832,0.9753255844116211
customer marketing specialist,customer marketing specialist,client marketing specialist,customer marketing associate,0.9999995231628418,0.9703991413116455,0.9679577350616455
customer officer office of the president,vice president account supervisor,assistant vice president client manager,vice president account manager,0.805772066116333,0.805506706237793,0.7995134592056274
customer onboarding associate,customer experience associate,customer support associate,customer account associate,0.9217205047607422,0.9012097120285034,0.8962275981903076
customer onboarding manager,customer experience manager,customer support center manager,customer accounts manager,0.9297224283218384,0.927603006362915,0.923866331577301
customer onboarding manager north america,worldwide sales manager,national sales support specialist,international sales engineer,0.7644612789154053,0.746711015701294,0.7445794939994812
customer operations,customer support team,customer support operations manager,customer support administrator,0.9426404237747192,0.9346828460693359,0.9334473013877869
customer operations intern,customer support intern,customer experience intern,product support intern,0.9793071746826172,0.9654576778411865,0.9392091035842896
customer product support specialist,customer support specialist,customer service technical support specialist,customer relations support specialist,0.9843432903289795,0.9743053913116455,0.968881368637085
customer programs director,customer solutions director,director of customer experience,customer support program manager,0.9672644138336182,0.9611777067184448,0.9605849385261536
customer relations and business development intern,sales and business development intern,business support intern,marketing and business development intern,0.9538403153419495,0.9524317383766174,0.9522243738174438
customer relations coordinator account management,account coordinator customer service representative,customer service account coordinator,customer account coordinator,0.970196008682251,0.9679319858551025,0.9629471302032471
customer relations lead,customer support lead,customer experience lead,customer support team lead,0.9509742259979248,0.9462192058563232,0.9252606630325317
customer relations manager,customer support manager,customer experience manager,customer relations assistant,0.9677063226699829,0.9667834639549255,0.961603581905365
customer relations manager the netherlands uk and emerging markets,new business marketing representative,new equipment sales representative,director of marketing and new business development,0.6949430108070374,0.6923961043357849,0.6902250051498413
customer relations specialist,customer relations support specialist,customer support specialist,customer assistance specialist,0.98176109790802,0.9575177431106567,0.9510886669158936
customer relations systems developer,customer development analyst,customer solutions architect,customer solutions engineer,0.9304243922233582,0.9278742074966431,0.9278682470321655
customer relationship manager,customer support manager,customer relationship analyst,customer experience manager,0.9542246460914612,0.950198769569397,0.9492560625076294
customer retention manager,customer support manager,customer experience manager,customer assistance manager,0.9445263147354126,0.9385024905204773,0.9370393753051758
customer retention specialist,customer support specialist,customer assistance specialist,customer experience specialist,0.9559831619262695,0.9541605710983276,0.9454729557037354
customer service,customer service and support representative,customer experience representative,customer service support representative,0.9461253881454468,0.946113646030426,0.9459046125411987
customer service account representative,customer service account representative,customer service and account representative,customer account representative,0.9999997615814209,0.9886987805366516,0.9869698286056519
customer service advisor housekeeping supervisor,housekeeping assistant manager,housekeeping administrative assistant,housekeeping services assistant,0.9375373721122742,0.9182583093643188,0.9172464609146118
customer service and account representative,customer service and account representative,customer service account representative,customer service and account manager,1.000000238418579,0.9886987805366516,0.9869413375854492
customer service and weekend manager,vacation sales advisor,vacation sales representative,vacation sales consultant,0.833795428276062,0.8307355642318726,0.8266453146934509
customer service associate,customer support associate,customer experience associate,customer service support representative,0.9824264049530029,0.9694478511810303,0.9676947593688965
customer service associate seasonal,seasonal sales associate,annuitant holiday clerk assistant,annual giving assistant,0.939836859703064,0.8254010677337646,0.7856678366661072
customer service coordinator,customer support coordinator,customer experience coordinator,customer solutions coordinator,0.9855643510818481,0.9758762717247009,0.9741325974464417
customer service department part time,customer support intern,shift assistant,loan production assistant,0.7463513612747192,0.7425473928451538,0.7350043058395386
customer service front desk part time,front desk administrative assistant,front desk assistant,front desk assistant manager,0.7827011346817017,0.7792580723762512,0.776903510093689
customer service lead,customer support lead,customer support team lead,customer experience lead,0.9697149991989136,0.9546540975570679,0.9545912742614746
customer service manager,customer support manager,customer support services manager,customer support center manager,0.9829995632171631,0.9822734594345093,0.9773157835006714
customer service part time,loan production assistant,customer support intern,shift assistant,0.7371228933334351,0.7341607809066772,0.7199744582176208
customer service rep,customer support representative,customer support team,customer service support representative,0.9391310214996338,0.9352539777755737,0.9338517189025879
customer service representative,customer service support representative,customer support representative,customer service and support representative,0.9861060380935669,0.9835618734359741,0.9789353609085083
customer service representative accounting clerk,customer accounting representative,accounting clerk office manager,accounting clerk administrative assistant,0.9642578363418579,0.9486503005027771,0.9484377503395081
customer service representative and content writer,customer service and support representative,customer service support representative,customer product support advisor,0.9030113816261292,0.9026676416397095,0.901624321937561
customer service representative at the financial aid office,financial center client service representative,customer financial services manager,financial customer service representative,0.9237896800041199,0.9178783893585205,0.9095076322555542
customer service representative contract,customer service support representative,production customer service representative,customer service and support representative,0.9276388883590698,0.9244977831840515,0.9243378639221191
customer service representative csr,customer service support representative,customer service and support representative,customer service and support manager,0.9396203756332397,0.9319255352020264,0.9243665933609009
customer service representative internship,customer support intern,marketing and customer service intern,customer marketing intern,0.9151827096939087,0.9082154035568237,0.9055965542793274
customer service representative support team,customer service support representative,customer service and support representative,customer service and support manager,0.9812801480293274,0.9772933125495911,0.9753923416137695
customer service sales associate,customer service sales associate,customer service and sales associate,sales customer service associate,1.0,0.9901397228240967,0.9895402193069458
